TSP,TSP Name,Eff Gas Day/Time,Avail Cap End Date/Time,Posting Date/Time,LOC,LOC Name,LOC Purp,LOC/QTI,Loc Zn,Total Scheduled Quantity (TSQ),Operationally Available Capacity (OAC),Operating Capacity (Current Capacity),Design Capacity,Contracted Firm Capacity,All Qty Avail,Qty Reason,IT,Meas Basis,Press Base,Press Base Desc,Flow Ind,Cycle
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11981,New York Mills,MQ,DPQ,1.0,75,1821,1896,1870.0,744,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11982,Wadena,MQ,DPQ,1.0,3294,18846,22140,21838.0,6038,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,12001,East Grand Forks,MQ,DPQ,1.0,0,21084,21084,20796.0,10350,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,12002,Crookston,MQ,DPQ,1.0,719,8652,9371,9243.0,5620,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,12027,Bertha,MQ,DPQ,1.0,0,1896,1896,1872.0,643,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,12028,Staples,MQ,DPQ,1.0,0,7329,7329,7229.0,1756,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,15224,Moorhead,MQ,DPQ,1.0,1050,35407,36457,35959.0,15454,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,15225,Fargo,MQ,DPQ,1.0,9728,158415,168143,165846.0,64686,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,15274,Grand Forks,MQ,DPQ,1.0,1017,35440,36457,35959.0,17488,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,27867,South Cambridge,MQ,DPQ,1.0,0,189625,189625,187035.0,55711,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28664,Chippewa Falls,MQ,DPQ,2.0,474,20610,21084,20817.0,2000,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28667,Greenwood,MQ,DPQ,2.0,1518,5811,7329,7236.0,5095,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28689,Boyceville,MQ,DPQ,2.0,378,21762,22140,21859.0,12585,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28691,Menomonie,MQ,DPQ,2.0,1203,8168,9371,9252.0,2100,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28692,South Colfax,MQ,DPQ,2.0,0,1896,1896,1872.0,622,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28693,Eau Claire,MQ,DPQ,2.0,8578,27879,36457,35995.0,4694,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28694,Cadott,MQ,DPQ,2.0,6001,16139,22140,21859.0,5363,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28789,Dresser,MQ,DPQ,2.0,58,7271,7329,7236.0,4918,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28872,ANR Marshfield,MQ,DPQ,2.0,204597,350086,554683,547648.0,166794,Y,,,BZ,14.73,PSIA,BD,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,33973,Emerson,MQ,DPQ,1.0,0,0,0,0.0,0,Y,,N,BZ,14.73,PSIA,R,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,174672,St. Vincent,MQ,DPQ,1.0,0,0,0,257805.0,0,Y,,N,BZ,14.73,PSIA,BD,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,179031,Chisago Zn2,MQ,DPQ,2.0,0,173738,173738,171704.0,0,Y,,,BZ,14.73,PSIA,BD,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,218305,Polk,MQ,DPQ,2.0,3554,50259,53813,53130.0,0,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288035,Taylors Falls,MQ,DPQ,2.0,25,7304,7329,7229.0,2500,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288036,North Branch,MQ,DPQ,2.0,25,7304,7329,7236.0,2150,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288037,Green Lake,MQ,DPQ,1.0,0,7329,7329,7229.0,3250,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288038,Camp Ripley,MQ,DPQ,1.0,0,1896,1896,1870.0,739,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288039,Randall,MQ,DPQ,1.0,8,1888,1896,1870.0,207,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288040,Little Falls,MQ,DPQ,1.0,0,22140,22140,21838.0,0,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288041,Pine Lake,MQ,DPQ,1.0,5,1891,1896,1870.0,750,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288042,Clarissa,MQ,DPQ,1.0,125,1771,1896,1870.0,0,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288044,Wheaton Generation,MQ,DPQ,2.0,0,160411,160411,158377.0,0,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288045,Wheaton,MQ,DPQ,2.0,0,22140,22140,21859.0,15,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288046,Dairyland,MQ,DPQ,2.0,0,53813,53813,53130.0,0,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288047,Chili,MQ,DPQ,2.0,722,6607,7329,7236.0,623,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288048,North Colfax,MQ,DPQ,2.0,4434,17706,22140,21859.0,5532,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288049,Fall Creek,MQ,DPQ,2.0,0,1896,1896,1872.0,20,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288050,Blackbrook,MQ,DPQ,2.0,0,22140,22140,21859.0,4319,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,288051,Wisc Gas Marshfield,MQ,DPQ,2.0,540,53273,53813,53130.0,10437,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,362785,Midwest Kinnickinnic,MQ,DPQ,2.0,190,2918,3108,,0,N,Capacity N/A for this element,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,362788,NSPWI Kinnickinnic,MQ,DPQ,2.0,40,1088,1128,,0,N,Capacity N/A for this element,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,362793,Wheeler,MQ,DPQ,2.0,7253,14887,22140,21859.0,12800,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,362796,St. Croix Kinnickinnic,MQ,DPQ,2.0,400,3950,4350,,0,N,Capacity N/A for this element,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,362799,New Richmond,MQ,DPQ,2.0,460,6869,7329,7236.0,0,Y,,,BZ,14.73,PSIA,D,ID3
