TSP,TSP Name,Post Date/Time,Effective Gas Day/Time,Meas Basis Desc,Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail,Qty Reason
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78542,EAST OF HWY 789,ANR,MQ,DPQ,D,500000.0,500000,247931,252069,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79038,EAST OF HWY 789,ARCADIA GAS STORAGE,MQ,DPQ,D,250000.0,265000,100195,164805,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79008,EAST OF HWY 789,BISTINEAU,M2,RPQ,R,250000.0,250000,224820,25180,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79037,EAST OF HWY 789,Black Bear Caddo,M2,RPQ,R,100000.0,100000,15300,84700,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79039,EAST OF HWY 789,CADEVILLE GAS STORAGE,MQ,DPQ,D,250000.0,265000,92670,172330,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78532,EAST OF HWY 789,CLEAR LAKE,M2,RPQ,R,500000.0,500000,25000,475000,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78555,EAST OF HWY 789,COLUMBIA GULF,MQ,DPQ,D,1300000.0,1300000,80554,1219446,N,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79023,WEST OF HWY 789,ENTERPRISE STATELINE I/C,M2,RPQ,R,250000.0,250000,15000,235000,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78554,EAST OF HWY 789,EXCO / HOLLY,M2,RPQ,R,500000.0,500000,193241,306759,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79060,EAST OF HWY 789,HODGE PAPER MILL,MQ,DPQ,D,30000.0,30000,22700,7300,N,N,N,Y,
