TSP,TSP Name,Post Date/Time,Effective Gas Day/Time,Meas Basis Desc,Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail,Qty Reason
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79025,EAST OF HWY 789,KINDERHAWK NORTH HOLLY I/C,M2,RPQ,R,350000.0,350000,76111,273889,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79024,EAST OF HWY 789,KINDERHAWK PLANTATION I/C,M2,RPQ,R,350000.0,350000,134429,215571,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78535,EAST OF HWY 789,MAGNOLIA,M2,RPQ,R,500000.0,500000,271989,228011,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78528,EAST OF HWY 789,MANSFIELD,M2,RPQ,R,1000000.0,1000000,621104,378896,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,100736,WEST OF HWY 789,MOMENTUM DEADWOOD,M2,RPQ,R,450000.0,450000,6312,443688,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79007,EAST OF HWY 789,SESH - SPECTRA,MQ,DPQ,D,,867000,408815,458185,Y,Y,N,N,Design Capacity at measurement location
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,79006,EAST OF HWY 789,SESH-SNG,MQ,DPQ,D,,433000,228836,204164,Y,Y,N,N,Design Capacity at measurement location
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78530,EAST OF HWY 789,SPRINGRIDGE,M2,RPQ,R,750000.0,750000,652334,97666,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78538,EAST OF HWY 789,TENNESSEE GAS PIPELINE,MQ,DPQ,D,265000.0,265000,142087,122913,Y,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78536,EAST OF HWY 789,TEXAS EASTERN,MQ,DPQ,D,140000.0,140000,30960,109040,N,N,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78540,EAST OF HWY 789,TEXAS GAS TRANSMISSION,MQ,DPQ,D,500000.0,500000,452364,47636,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,100728,EAST OF HWY 789,TGP Delhi,MQ,DPQ,D,650000.0,650000,275821,374179,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78541,EAST OF HWY 789,TRUNKLINE GAS PIPELINE,MQ,DPQ,D,500000.0,500000,214174,285826,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,05/05/2022 4:30PM,05/06/2022 9:00AM,MMBtu,78534,EAST OF HWY 789,WOODARDVILLE,M2,RPQ,R,140000.0,140000,70000,70000,Y,N,N,Y,
