TSP,TSP Name,Eff Gas Day/Time,Avail Cap End Date/Time,Posting Date/Time,LOC,LOC Name,LOC Purp,LOC/QTI,Loc Zn,Total Scheduled Quantity (TSQ),Operationally Available Capacity (OAC),Operating Capacity (Current Capacity),Design Capacity,Contracted Firm Capacity,All Qty Avail,Qty Reason,IT,Meas Basis,Press Base,Press Base Desc,Flow Ind,Cycle
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 09:00:00,08/30/22 21:15:54,5,Flow past St. Vincent,7S,SGQ,1,384193,161807,546000,502208.0,514787,Y,,,BZ,14.73,PSIA,TD2,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,5,Flow past St. Vincent,7S,SGQ,1,382423,163577,546000,502208.0,514787,Y,,,BZ,14.73,PSIA,TD2,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 09:00:00,08/30/22 21:15:54,367,Frazee horsepower constraint,7S,SGQ,1,341940,5060,347000,365000.0,426899,Y,,,BZ,14.73,PSIA,TD2,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,367,Frazee horsepower constraint,7S,SGQ,1,339652,7348,347000,365000.0,426899,Y,,,BZ,14.73,PSIA,TD2,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 09:00:00,08/30/22 21:15:54,68,Flow past Compressor Station 2217,7S,SGQ,1,0,231000,231000,269850.0,92757,Y,,,BZ,14.73,PSIA,TD1,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,68,Flow past Compressor Station 2217,7S,SGQ,1,0,231000,231000,269850.0,92757,Y,,,BZ,14.73,PSIA,TD1,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 09:00:00,08/30/22 21:15:54,0,Flow past Compressor Station 2217,7S,SGQ,1,299987,114286,414273,421818.0,384546,Y,,,BZ,14.73,PSIA,TD2,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,0,Flow past Compressor Station 2217,7S,SGQ,1,300653,113620,414273,421818.0,384546,Y,,,BZ,14.73,PSIA,TD2,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 09:00:00,08/30/22 21:15:54,69,Flow past Chisago,7S,SGQ,1,0,231000,231000,269850.0,94807,Y,,,BZ,14.73,PSIA,TD1,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,69,Flow past Chisago,7S,SGQ,1,0,231000,231000,269850.0,94807,Y,,,BZ,14.73,PSIA,TD1,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 09:00:00,08/30/22 21:15:54,2,Flow Past Chisago,7S,SGQ,2,217325,119362,336687,346500.0,252937,Y,,,BZ,14.73,PSIA,TD2,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,2,Flow Past Chisago,7S,SGQ,2,221984,114703,336687,346500.0,252937,Y,,,BZ,14.73,PSIA,TD2,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 09:00:00,08/30/22 21:15:54,70,Flow past Eau Claire,7S,SGQ,2,0,231000,231000,271664.0,92199,Y,,,BZ,14.73,PSIA,TD1,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,70,Flow past Eau Claire,7S,SGQ,2,0,231000,231000,271664.0,92199,Y,,,BZ,14.73,PSIA,TD1,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 09:00:00,08/30/22 21:15:54,3,Flow Past Eau Claire,7S,SGQ,2,183316,106484,289800,327600.0,209032,Y,,,BZ,14.73,PSIA,TD2,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,3,Flow Past Eau Claire,7S,SGQ,2,188781,101019,289800,327600.0,209032,Y,,,BZ,14.73,PSIA,TD2,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 22:00:00,08/30/22 21:15:54,11815,Lake Park,MQ,DPQ,1,8,1888,1896,1870.0,357,Y,,,BZ,14.73,PSIA,D,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,11815,Lake Park,MQ,DPQ,1,28,1868,1896,1870.0,357,Y,,,BZ,14.73,PSIA,D,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 22:00:00,08/30/22 21:15:54,11816,Audubon,MQ,DPQ,1,0,1896,1896,1870.0,332,Y,,,BZ,14.73,PSIA,D,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,11816,Audubon,MQ,DPQ,1,0,1896,1896,1870.0,332,Y,,,BZ,14.73,PSIA,D,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 22:00:00,08/30/22 21:15:54,11818,Detroit Lakes,MQ,DPQ,1,1,7328,7329,7229.0,4008,Y,,,BZ,14.73,PSIA,D,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,11818,Detroit Lakes,MQ,DPQ,1,1,7328,7329,7229.0,4008,Y,,,BZ,14.73,PSIA,D,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 22:00:00,08/30/22 21:15:54,11856,Chisago Zn1,MQ,DPQ,1,81537,92201,173738,171704.0,87156,Y,,,BZ,14.73,PSIA,BD,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,11856,Chisago Zn1,MQ,DPQ,1,77500,96238,173738,171704.0,87156,Y,,,BZ,14.73,PSIA,BD,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 22:00:00,08/30/22 21:15:54,11859,Hawley,MQ,DPQ,1,63,7266,7329,7229.0,604,Y,,,BZ,14.73,PSIA,D,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,11859,Hawley,MQ,DPQ,1,60,7269,7329,7229.0,604,Y,,,BZ,14.73,PSIA,D,EVE
Viking Gas Transmission Company,60-916-6673,08/30/22 22:00:00,08/31/22 22:00:00,08/30/22 21:15:54,11861,Dilworth,MQ,DPQ,1,0,22140,22140,21838.0,3405,Y,,,BZ,14.73,PSIA,D,ID3
Viking Gas Transmission Company,60-916-6673,08/31/22 09:00:00,09/01/22 09:00:00,08/30/22 20:16:06,11861,Dilworth,MQ,DPQ,1,0,22140,22140,21838.0,3405,Y,,,BZ,14.73,PSIA,D,EVE
